ID,title,x,y,cluster
1,Inception,0.05160766843254344,-0.32369028545314354,3
2,The Matrix,-0.424908338224076,-0.06268994378322161,1
3,Avengers: Infinity War,-0.4191835622932499,0.2785904340327149,1
4,Back to the Future,-0.1414771049797932,-0.010927062717800841,1
5,"The Good, the Bad and the Ugly",-0.1860791434788513,0.1921146286776953,1
6,Spider-Man: Into the Spider-Verse,0.6686820457546304,-0.6322617140088057,3
9,Raiders of the Lost Ark,-0.19594898143921965,-0.11220484204004924,1
11,Taxi Driver,-0.24237698435467425,0.4721523931488921,0
12,3 Idiots,0.8929758107155853,0.298973131773412,2
13,Pan's Labyrinth,-0.01407973628785416,0.6123406396931286,0
14,Room,-0.5032466805753102,0.06513412532861329,1
17,Indiana Jones and the Last Crusade,-0.08100111633198337,-0.05509457873167455,1
19,The King's Speech,-0.30161996882929865,-0.1490725173512262,1
20,Her,-0.4027578146777796,0.1409565933644425,1
21,There Will Be Blood,-0.4460795690296863,0.04444222386851188,1
22,The Social Network,-0.5433537955179623,0.013131745175345195,1
24,The Perks of Being a Wallflower,-0.4628274766580814,0.0003979547365464439,1
26,Ex Machina,-0.5939623268748229,0.06619040480359371,1
27,Silver Linings Playbook,-0.2444085244839245,-0.08121552112111853,1
28,District 9,-0.494802078033128,0.03908548669327087,1
30,Moon,-0.34218681195190315,-0.04488490435739585,1
31,Marriage Story,-0.3309381479602955,0.1294491832025738,1
32,Drive,0.933767506928908,-0.15206996669177544,2
34,Incredibles 2,0.5895431413032403,0.2307866773174945,0
35,Dangal,0.4984892973129231,0.5505731905845215,0
37,Minority Report,-0.6089709205130308,0.090977362307401,1
41,Despicable Me,0.8220589803945564,-0.15122039424088826,2
45,Indiana Jones and the Temple of Doom,0.07176979584063302,0.03175020821249672,1
48,Senna,-0.3214402331146732,-0.24947140085728764,1
51,The Hateful Eight,-0.3455553753592914,-0.08366152610525203,1
59,Snowpiercer,-0.5309518557029052,0.0990641410509673,1
60,Hugo,-0.21147986884412365,0.09005595777652199,1
67,Molly's Game,-0.6478390295520486,0.11511109156563668,1
69,El Camino: A Breaking Bad Movie,-0.4650134755786653,0.1597716923287136,1
72,End of Watch,-0.3278437205627517,-0.0239591458496166,1
79,Mud,-0.18703984565122767,0.1211214510554635,1
85,The Two Popes,-0.42116183656034656,0.16181343617746205,1
86,The Last Samurai,-0.6113137514759904,0.02143448985360544,1
91,Dolemite Is My Name,1.2602375963697068,0.10160490171760213,2
92,Tarzan,1.116475440249136,-0.0899389303582082,2
96,Saving Mr. Banks,0.007254452119766099,0.4592832009198253,0
97,Icarus,-0.20600215980002445,0.02182604723603577,1
101,The Death of Stalin,-0.2635120820819995,-0.04397576529180939,1
113,Extraction,0.21319216201666447,-0.5374792650730189,3
115,Blue Valentine,-0.3195606145833225,0.17642114945487672,1
117,Green Room,1.1314060232410528,-0.09349050929559803,2
118,Kung Fu Panda 2,-0.05832087389353629,-0.034070978980808984,1
119,The Ballad of Buster Scruggs,0.4325669507009279,0.6396257098085398,0
122,The Adventures of Tintin,-0.008211444451134519,0.09412638029640416,1
137,Solo: A Star Wars Story,0.01638372749013716,-0.543725964325641,3
138,Steve Jobs,0.2727714197794696,-0.4584348794058632,3
140,The Croods,1.0641948582508889,0.10178700679622596,2
141,Locke,0.0007518608501040066,-0.4138793485375322,3
143,Starred Up,0.6542532040719972,0.012691988566621858,2
144,Mudbound,0.44949475388612,0.3970739706997437,0
146,Blue Ruin,-0.6420095538737703,0.042564744097044784,1
155,Haider,-0.5079950094903415,0.007554274562718597,1
157,Hush,-0.16301516356405335,-0.11306477191163394,1
158,Elizabeth,0.17869799854596954,0.7063075690236771,0
164,The Autopsy of Jane Doe,-0.4004059978272427,-0.12997947909478333,1
165,Virunga,-0.3498900442737295,0.0025319036788873732,1
167,The Master,0.11278526091034935,0.7492770995868033,0
168,A Serious Man,-0.27289558386808216,0.11713287735956668,1
170,The Breadwinner,-0.035337127311898565,-0.3217246663191665,3
171,The Boy Who Harnessed the Wind,-0.07908168166572875,0.04021782040193847,1
174,Lawless,0.3227587439644992,0.4765196961748213,0
179,The Mask of Zorro,0.476600771576554,0.40656384351326413,0
180,The Natural,0.4925214431426509,0.1943672660027359,0
182,Arthur Christmas,0.5642246665771644,0.4528130794501505,0
187,War Horse,-0.618321415920875,0.06877072287448797,1
190,A Most Violent Year,-0.011611995030593986,0.15256431168734946,1
195,Insidious,0.20406532346653206,-0.5639941515174899,3
198,The Foreigner,0.04599032055462757,-0.4025289561446072,3
199,The Danish Girl,-0.2697943598330168,0.24572159959966944,1
201,Bird Box,-0.2116185673917692,-0.19303507743756346,1
203,Hostiles,-0.3260565925638101,-0.2237354666967847,1
206,LA 92,-0.3280552954225888,0.09256518374600488,1
211,A Ghost Story,0.4402782541579127,0.4321627288002304,0
212,United 93,0.16156565470115322,-0.5050333642186263,3
217,Enemy,-0.3047595228407381,-0.17175323030692696,1
220,Indiana Jones and the Kingdom of the Crystal Skull,-0.11679402654303593,-0.15048647583915353,1
227,Angel Has Fallen,-0.24271841202094505,-0.17671594812145391,1
229,Mary Poppins Returns,-0.10874691400221227,0.7106210342616368,0
235,American Factory,-0.302009523369701,-0.2719920246994253,1
236,Code 8,0.33259938012681395,0.6381411386748036,0
237,Salt,0.2676842409848241,-0.6577664988683974,3
238,The Hundred-Foot Journey,1.074216664441801,0.017859876000069372,2
241,Chasing Coral,0.8704793836045172,0.03660459739460746,2
243,The One I Love,-0.3963136377441324,0.11049657716764924,1
249,The Willoughbys,0.4304912184001942,-0.2614501780771402,3
