,ID,0,1,2,3,4,5,6,7
331,472,Drama,Romance,,,,,,
333,476,Comedy,Family,Fantasy,,,,,
334,478,Drama,War,,,,,,
340,486,Action,Fantasy,,,,,,
341,487,Crime,Drama,Mystery,Thriller,,,,
344,491,Animation,Adventure,Comedy,Family,,,,
345,492,Adventure,Crime,Drama,Mystery,Thriller,,,
346,494,Comedy,Drama,Romance,,,,,
351,501,Action,Crime,Drama,Thriller,,,,
353,503,Biography,Drama,Family,Sport,,,,
355,510,Drama,Horror,Mystery,Thriller,,,,
356,512,Biography,Drama,Family,Romance,,,,
358,516,Action,Drama,Romance,Sci-Fi,Thriller,,,
360,520,Action,Drama,Sci-Fi,,,,,
361,523,Drama,History,Thriller,,,,,
362,525,Documentary,History,,,,,,
370,536,Drama,History,Thriller,,,,,
372,539,Documentary,,,,,,,
373,541,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,
375,548,Action,Drama,,,,,,
378,551,Comedy,Drama,,,,,,
379,552,Comedy,,,,,,,
381,554,Action,Comedy,Crime,Thriller,,,,
383,557,Crime,Thriller,,,,,,
388,563,Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller,,
389,564,Action,Thriller,,,,,,
402,586,Drama,Romance,Sport,,,,,
403,587,Drama,,,,,,,
404,588,Action,Drama,Thriller,War,,,,
406,591,Comedy,Drama,Romance,,,,,
407,598,Drama,Fantasy,Horror,Thriller,,,,
408,600,Documentary,,,,,,,
411,603,Comedy,Drama,Romance,,,,,
412,608,Drama,Family,,,,,,
414,610,Documentary,Biography,Sport,,,,,
415,611,Comedy,Sci-Fi,,,,,,
417,614,Biography,Drama,,,,,,
418,615,Action,Crime,Drama,Thriller,,,,
422,620,Action,Crime,Drama,Sci-Fi,,,,
424,622,Drama,,,,,,,
431,636,Biography,Drama,History,War,,,,
432,637,Drama,,,,,,,
434,640,Drama,Romance,War,,,,,
436,645,Horror,Thriller,,,,,,
440,650,Action,Sci-Fi,,,,,,
444,658,Documentary,,,,,,,
445,659,Action,Drama,Sci-Fi,Thriller,,,,
453,672,Horror,Mystery,Thriller,,,,,
460,680,Action,Crime,Thriller,,,,,
461,683,Comedy,Family,,,,,,
462,684,Drama,,,,,,,
472,701,Crime,Mystery,Sci-Fi,Thriller,,,,
473,702,Adventure,Comedy,Drama,Family,Fantasy,,,
475,705,Crime,Drama,Thriller,,,,,
476,706,Drama,,,,,,,
477,707,Comedy,Drama,,,,,,
481,712,Crime,Drama,Horror,Mystery,Thriller,,,
483,716,Comedy,Crime,Drama,Fantasy,Mystery,Thriller,,
484,717,Horror,Thriller,,,,,,
491,728,Animation,Adventure,Comedy,Family,Fantasy,,,
497,737,Action,Adventure,Comedy,Crime,,,,
501,741,Comedy,Drama,Romance,,,,,
503,744,Drama,Thriller,,,,,,
504,745,Drama,Mystery,Romance,Thriller,,,,
507,748,Documentary,Crime,,,,,,
508,749,Comedy,Drama,Romance,,,,,
514,760,Adventure,Drama,Horror,Thriller,,,,
519,769,Comedy,Fantasy,Horror,Thriller,,,,
520,774,Action,Adventure,Sci-Fi,,,,,
524,779,Drama,Fantasy,Horror,Thriller,,,,
531,789,Comedy,,,,,,,
534,795,Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller,,
537,799,Action,Drama,Western,,,,,
540,803,Adventure,Drama,History,,,,,
544,813,Comedy,Drama,,,,,,
