,ID,title,music_director,album_name,track_name,preview_url,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
24,31,Marriage Story,Randy Newman,Marriage Story (Original Music from the Netflix Film),Sgt. Pepper Shoelaces,https://p.scdn.co/mp3-preview/a8c7a9bac7391a6f9dcf6ab8115870ccba74b1b8?cid=0e18970867524f1fba6634279dd9e5b2,40,0.995,0.536,0.0397,83.998,0.502,0.961,0.108,-22.138,0.0511
25,32,Drive,Cliff Martinez,I Drive (Waveshaper Remix) [The Rise of the Synths Presents],I Drive (Waveshaper Remix) [The Rise of the Synths Presents],https://p.scdn.co/mp3-preview/9bb8cc30f829e94bfb685fa0842d67fe82f228ae?cid=0e18970867524f1fba6634279dd9e5b2,17,0.016,0.273,0.903,192.587,0.0784,0.0381,0.0998,-6.116,0.106
27,34,Incredibles 2,Michael Giacchino,Incredibles 2 (Original Motion Picture Soundtrack),Incredits 2,,25,0.524,0.446,0.606,123.773,0.182,0.13,0.873,-8.338,0.0931
28,35,Dangal,Pritam Chakraborty,Dangal (Original Motion Picture Soundtrack),Naina,https://p.scdn.co/mp3-preview/534433be09560f3876589e986fc628de0c4b4b30?cid=0e18970867524f1fba6634279dd9e5b2,64,0.772,0.501,0.445,80.086,0.388,0,0.117,-8.432,0.0337
30,37,Minority Report,John Williams,Minority Report,Sean's Theme - Minority Report Soundtrack,,16,0.937,0.14,0.0129,69.879,0.126,0.899,0.153,-33.012,0.0365
33,41,Despicable Me,Heitor Pereira,Despicable Me 3 (Original Motion Picture Score),Evil Bratt Show,https://p.scdn.co/mp3-preview/edde11e572d728870073cc23706715e9abcf1c13?cid=0e18970867524f1fba6634279dd9e5b2,15,0.00172,0.556,0.542,146.922,0.34,0.249,0.364,-12.308,0.0509
37,45,Indiana Jones and the Temple of Doom,John Williams,Indiana Jones and the Temple of Doom (Original Motion Picture Soundtrack),End Credits,,32,0.708,0.194,0.406,180.159,0.305,0.602,0.114,-12.646,0.042
39,48,Senna,Antonio Pinto,Original Music From The Motion Picture Senna,God - Senna Theme,,34,0.491,0,0.194,0,0,0.881,0.112,-19.114,0
42,51,The Hateful Eight,Ennio Morricone,The Hateful Eight Overture,"Overture (From ""The Hateful Eight"" Soundtrack)",https://p.scdn.co/mp3-preview/2ec35a0e6e4557d7bc91263ec8b6a0664ee880eb?cid=0e18970867524f1fba6634279dd9e5b2,10,0.862,0.346,0.253,82.442,0.0366,0.951,0.0807,-14.204,0.0461
48,59,Snowpiercer,Marco Beltrami,Snowpiercer (Original Motion Picture Soundtrack),Sushi,,18,0.996,0.363,0.00498,168.621,0.19,0.931,0.0648,-32.216,0.0479
49,60,Hugo,Howard Shore,Hugo Original Score,The Thief,https://p.scdn.co/mp3-preview/ff6c7ef30e85293597c95030e0b2c5016c732f5a?cid=0e18970867524f1fba6634279dd9e5b2,31,0.723,0.253,0.109,113.484,0.0894,0.641,0.0721,-21.238,0.0355
56,67,Molly's Game,Daniel Pemberton,Molly's Game (Original Motion Picture Soundtrack),Molly's Dream,https://p.scdn.co/mp3-preview/6ae546ba254951ff2e14f61fc3544365d71173fa?cid=0e18970867524f1fba6634279dd9e5b2,22,0.988,0.277,0.000637,72.709,0,0.903,0.0964,-33.8,0.0521
57,69,El Camino: A Breaking Bad Movie,Dave Porter,"Underpass / Frozen Money (from ""El Camino: A Breaking Bad Movie"")",Underpass,https://p.scdn.co/mp3-preview/09e64976585c043038ac7cd31df469da7b1bb7e8?cid=0e18970867524f1fba6634279dd9e5b2,4,0.948,0.305,0.0424,100.143,0.0364,0.774,0.084,-26.35,0.0323
58,72,End of Watch,David Sardy,End of Watch,Funeral,https://p.scdn.co/mp3-preview/525e814ad8b37c4bde30ae465663a2aa0422b111?cid=0e18970867524f1fba6634279dd9e5b2,16,0.915,0.568,0.186,109.093,0.0373,0.948,0.0668,-15.746,0.0322
63,79,Mud,David Wingo,Mud (Original Motion Picture Soundtrack),Sleeping in Trees,https://p.scdn.co/mp3-preview/a12130dc8bbc07b60b1af0dfc181b6b299bc1484?cid=0e18970867524f1fba6634279dd9e5b2,3,0.929,0.285,0.347,170.449,0.0392,0.661,0.101,-16.019,0.0466
67,85,The Two Popes,Bryce Dessner,The Two Popes (Music from the Netflix Film),Walls 2,https://p.scdn.co/mp3-preview/b67e663e244a2314c374ea1f1ee911f34d177f8a?cid=0e18970867524f1fba6634279dd9e5b2,30,0.963,0.335,0.0688,52.025,0.278,0.843,0.124,-26.686,0.0406
68,86,The Last Samurai,Hans Zimmer,The Last Samurai: Original Motion Picture Score,A Way of Life,https://p.scdn.co/mp3-preview/53eaa9f8b2437bbb727892962fa8862f1c2f8052?cid=0e18970867524f1fba6634279dd9e5b2,57,0.895,0.0923,0.031,86.636,0.0344,0.916,0.0766,-29.351,0.0454
72,91,Dolemite Is My Name,Scott Bomar,Dolemite Is My Name (Music from the Netflix Film),Like I Should,https://p.scdn.co/mp3-preview/a622e71ddbfbe88a6578e90b4eb70f461ffeeb70?cid=0e18970867524f1fba6634279dd9e5b2,18,0.0783,0.711,0.774,102.542,0.885,1.60E-06,0.0446,-5.686,0.0389
