,ID,title,music_director,album_name,track_name,preview_url,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
808,1387,Chernobyl Diaries,Diego Stocco,Chernobyl Diaries (Original Motion Picture Soundtrack),Abandoned Town,https://p.scdn.co/mp3-preview/5844b4b2557b27cbcf386f012e923d41b22bfd47?cid=0e18970867524f1fba6634279dd9e5b2,9,0.95,0.176,0.0887,71.215,0.164,0.65,0.0872,-31.601,0.0534
818,1409,Friend Request,Gary Go,Friend Request,The Beginning,https://p.scdn.co/mp3-preview/d26feadd8985754e682a66fa55eb35d869fd47a6?cid=0e18970867524f1fba6634279dd9e5b2,20,0.573,0.568,0.427,119.999,0.141,0.872,0.098,-13.386,0.0303
822,1420,Silent Hill: Revelation 3D,Jeff Danna,Silent Hill: Revelation 3D (Original Motion Picture Soundtrack),Silent Scream,https://p.scdn.co/mp3-preview/7a7f970550b60b1ba4a63e3ac9621d99f9611a72?cid=0e18970867524f1fba6634279dd9e5b2,21,0.0161,0.594,0.719,109.993,0.165,9.55E-06,0.338,-5.677,0.0324
823,1421,Hangman,Frederik Wiedmann,Hangman (Original Motion Picture Soundtrack),Archer,,3,0.743,0.0637,0.199,69.471,0.0261,0.811,0.105,-19.03,0.0459
824,1428,Polar,Deadmau5,Polar (Music from the Netflix Film),cabin,https://p.scdn.co/mp3-preview/781595e382ef1bb9834074248d84ed3e482da719?cid=0e18970867524f1fba6634279dd9e5b2,47,0.00406,0.578,0.823,110.003,0.0258,0.896,0.0907,-9.184,0.0373
825,1430,Ek Main Aur Ekk Tu,Amit Trivedi,Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,https://p.scdn.co/mp3-preview/aec739f1ae1ddc6ec9d656b289fb78c16837f90f?cid=0e18970867524f1fba6634279dd9e5b2,57,0.0406,0.77,0.666,136.004,0.74,4.10E-06,0.183,-7.232,0.0608
827,1437,Shimmer Lake,Joseph Trapanese,Shimmer Lake (Music From The Netflix Original Film),Shimmer Lake,,3,0.99,0.17,0.0545,128.198,0.04,0.896,0.507,-30.603,0.0425
828,1439,Mohenjo Daro,A.R. Rahman,Mohenjo Daro,Tu Hai,https://p.scdn.co/mp3-preview/b861bdc6375454065c453abfeca58e41c0c7c0ea?cid=0e18970867524f1fba6634279dd9e5b2,56,0.744,0.499,0.541,81.198,0.381,0.00167,0.0579,-10.463,0.0448
834,1449,She Hate Me,Terence Blanchard,She Hate Me (Spike Lee's Original Motion Picture Soundtrack),Godfather,https://p.scdn.co/mp3-preview/ab6b88c5fbadbdf5df678df5b5995b1647119f3a?cid=0e18970867524f1fba6634279dd9e5b2,1,0.981,0.354,0.0736,65.032,0.0455,0.862,0.09,-16.004,0.0395
836,1453,Lady Bloodfight,Mark Kilian,Lady Bloodfight (Original Motion Picture Soundtrack),Main Titles,https://p.scdn.co/mp3-preview/23badd5aece5124045987f104b9f6b5dbd626a80?cid=0e18970867524f1fba6634279dd9e5b2,0,0.0658,0.354,0.172,111.575,0.0369,0.846,0.111,-19.819,0.0545
837,1456,Earthquake Bird,Leopold Ross,Earthquake Bird (Original Music from the Netflix Film),Shine On,https://p.scdn.co/mp3-preview/6b5835b141344455e4d0ad56d8c7bd331f8e1091?cid=0e18970867524f1fba6634279dd9e5b2,17,0.535,0.354,0.44,116.034,0.066,0.885,0.151,-13.249,0.0367
838,1457,Mohawk,Wojciech Golczewski,Mohawk (Original Motion Picture Soundtrack EP),Mohawk,https://p.scdn.co/mp3-preview/63e6e6874dc48179829508f380ef75afcbb1945f?cid=0e18970867524f1fba6634279dd9e5b2,7,0.726,0.49,0.643,99.516,0.263,0.876,0.11,-16.669,0.0393
839,1459,Untamed Romania,Nainita Desai,Untamed Romania (Original Motion Picture Soundtrack),Untamed Romania,https://p.scdn.co/mp3-preview/931735e925e21a3bb8800883f5a69ebaa6953559?cid=0e18970867524f1fba6634279dd9e5b2,5,0.758,0.177,0.378,120.871,0.0361,0.936,0.138,-11.89,0.039
840,1460,Sarkar,A.R. Rahman,Sarkar (Tamil) [Original Motion Picture Soundtrack],OMG Ponnu,https://p.scdn.co/mp3-preview/96d24afc8f71ed05b65eedf8c07b24b98e0c0991?cid=0e18970867524f1fba6634279dd9e5b2,52,0.00169,0.809,0.714,130.011,0.514,0.136,0.0573,-9.555,0.0342
841,1461,Bokeh,Keegan DeWitt,Bokeh (Original Motion Picture Soundtrack),The Lupines / Date,https://p.scdn.co/mp3-preview/6d5bda3e83f3075c25298058ec048330152fbbb8?cid=0e18970867524f1fba6634279dd9e5b2,4,0.927,0.107,0.0847,85.03,0.0618,0.866,0.0868,-23.121,0.0447
843,1471,Burn Out,Gregoire Auger,Burn Out (Original Motion Picture Soundtrack),Tony / La carte / Jordan,https://p.scdn.co/mp3-preview/a5e70b52e347a797681a84a7e75e2c85f06f0f92?cid=0e18970867524f1fba6634279dd9e5b2,0,0.793,0.23,0.368,161.237,0.026,0.918,0.112,-13.283,0.0472
852,1491,Pachamama,Pierre Hamon,Pachamama (Original Motion Picture Soundtrack),Somos la Nueva Tierra,https://p.scdn.co/mp3-preview/cfa82b4307cd1fa375b52d776b47dfd3a384ac18?cid=0e18970867524f1fba6634279dd9e5b2,23,0.753,0.579,0.561,84.959,0.376,3.78E-05,0.116,-8.35,0.0501
855,1501,The Last Airbender,James Newton Howard,The Last Airbender (Music from the Motion Picture),Flow Like Water,https://p.scdn.co/mp3-preview/d6312e0e99b71ef9843a9a3ed6cb8e332025ee3b?cid=0e18970867524f1fba6634279dd9e5b2,43,0.0555,0.121,0.277,80.007,0.0385,0.942,0.0922,-14.745,0.0318
860,1523,Angela's Christmas,Darren Hendley,The Music Of Angela's Christmas (Original Motion Picture Soundtrack),Angela's Song,,22,0.985,0.54,0.0667,71.044,0.237,0.000782,0.104,-18.721,0.031
872,1552,Agatha and the Truth of Murder,Andrew Simon McAllister,"Agatha and the Truth of Murder (From ""Agatha and The Truth of Murder"")","The Truth of Murder (From ""Agatha and The Truth of Murder"")",https://p.scdn.co/mp3-preview/4154c8bdf4e4297b407cfb34a1c4351f65a0f13d?cid=0e18970867524f1fba6634279dd9e5b2,1,0.987,0.498,0.274,127.893,0.195,0.873,0.129,-16.536,0.0452
891,1600,I Am Wrath,Haim Mazar,I Am Wrath (Original Motion Picture Soundtrack),Main Titles,https://p.scdn.co/mp3-preview/b09f5d38dbffcba8f651739c6b02fad4af9c4dac?cid=0e18970867524f1fba6634279dd9e5b2,0,0.0561,0.341,0.375,170.405,0.0405,0.868,0.0784,-16.764,0.0368
893,1607,Dragonheart: Vengeance,Mark McKenzie,Dragonheart: Vengeance (Original Motion Picture Soundtrack),Keep Looking Up,https://p.scdn.co/mp3-preview/fb140e8d796b88cafa49a8230cc9490957281f12?cid=0e18970867524f1fba6634279dd9e5b2,6,0.971,0.0827,0.04,64.26,0.0393,0.966,0.0986,-25.749,0.0397
902,1624,City of Tiny Lights,Ruth Barrett,City of Tiny Lights (Original Motion Picture Soundtrack),Tiny Lights,https://p.scdn.co/mp3-preview/bb39952dd04015edb94e5f0790868d6a2d723fff?cid=0e18970867524f1fba6634279dd9e5b2,0,0.771,0.112,0.302,88.976,0.0331,0.862,0.137,-12.67,0.034
912,1660,Mara,James Edward Barker,Mara (Original Motion Picture Soundtrack),Bang!,https://p.scdn.co/mp3-preview/07119d39a8aaa6e174afec065fb729bd92497477?cid=0e18970867524f1fba6634279dd9e5b2,0,0.722,0.0757,0.0109,82.326,0.0362,0.874,0.0905,-31.222,0.0382
915,1668,Skin Trade,Jacob Groth,Skin Trade (Original Motion Picture Soundtrack),Nick Is Framed,https://p.scdn.co/mp3-preview/0c174ec2df4330c448a56bfe49613f95a0cf24d4?cid=0e18970867524f1fba6634279dd9e5b2,0,0.173,0.545,0.786,160.011,0.325,0.761,0.108,-12.82,0.0373
921,1688,The Roommate,John Frizzell,The Roommate (Original Motion Picture Soundtrack),The Necklace,https://p.scdn.co/mp3-preview/d83e6e6150efd0b269d6cc351d5b2d476ea22ca5?cid=0e18970867524f1fba6634279dd9e5b2,1,0.989,0.13,0.0483,179.505,0.0455,0.906,0.0774,-25.746,0.0339
922,1689,Doom: Annihilation,Frederik Wiedmann,Doom: Annihilation (Original Motion Picture Soundtrack),Welcome to Phobos,https://p.scdn.co/mp3-preview/6fbae7306c48a186c9a56eaa821f65486a01841f?cid=0e18970867524f1fba6634279dd9e5b2,0,0.435,0.126,0.143,182.75,0.0332,0.881,0.436,-23.173,0.0372
923,1690,Stephanie,Nathan Whitehead,Stephanie (Original Motion Picture Soundtrack),Story Time,https://p.scdn.co/mp3-preview/907d0bae928202d907c66098d193bec1eec660d9?cid=0e18970867524f1fba6634279dd9e5b2,9,0.937,0.273,0.0451,76.943,0.156,0.718,0.108,-31.282,0.0323
924,1691,The Vault,Shaun Drew,The Vault (Original Motion Picture Soundtrack),Wanna Survive Today?,https://p.scdn.co/mp3-preview/7664047c95eea697a0cac1a1bee131b081a1106c?cid=0e18970867524f1fba6634279dd9e5b2,0,0.664,0.441,0.167,180.058,0.0392,0.911,0.0974,-24.091,0.036
926,1702,Yeh Ballet,Ankur Tewari,Yeh Ballet (Original Soundtrack From The Netflix Film),Raat Ki Rani,https://p.scdn.co/mp3-preview/c84866e330992071e857882ebc10cf3a1dd97b2a?cid=0e18970867524f1fba6634279dd9e5b2,14,0.334,0.873,0.588,132.083,0.964,0.0363,0.0476,-6.559,0.134
927,1704,Fukrey,Ram Sampath,Fukrey,Ambarsariya,https://p.scdn.co/mp3-preview/1cf6cdc53067d0d090f44b4d607ddb7301c35e91?cid=0e18970867524f1fba6634279dd9e5b2,62,0.574,0.649,0.458,180.071,0.748,0,0.113,-7.632,0.0446
930,1709,The Adderall Diaries,Michael Andrews,The Adderall Diaries (Original Motion Picture Score),Opener,https://p.scdn.co/mp3-preview/5189d3311a2f76017583f4d21dbed04b4de9c359?cid=0e18970867524f1fba6634279dd9e5b2,2,0.99,0.177,0.0712,66.494,0.0338,0.949,0.09,-22.54,0.0455
931,1710,Psycho,Bernard Herrmann,Alfred Hitchcock's Psycho Complete Original Soundtrack,"Prelude, the City",https://p.scdn.co/mp3-preview/a7e5f94ed185688463c0811551302912aa4384e2?cid=0e18970867524f1fba6634279dd9e5b2,10,0.988,0.459,0.327,76.253,0.0396,0.856,0.0802,-11.721,0.0578
933,1717,Ready,Pritam Chakraborty,Ready,Character Dheela,https://p.scdn.co/mp3-preview/8cc87999031a197a69632d6989ed14c05621e21e?cid=0e18970867524f1fba6634279dd9e5b2,54,0.108,0.783,0.889,111.983,0.851,3.06E-05,0.333,-2.691,0.0598
936,1723,Clinical,Ian Hultquist,Clinical (Original Motion Picture Soundtrack),"That's the Hour, Pt. 1",https://p.scdn.co/mp3-preview/5dcd9fe32eaab06e711cf3d0dbe189f8cee6f858?cid=0e18970867524f1fba6634279dd9e5b2,1,0.85,0.785,0.117,130.056,0.896,0.0344,0.0785,-18.857,0.0651
938,1731,First Kill,Ryan Franks,First Kill (Original Motion Picture Soundtrack),ATV Chase,https://p.scdn.co/mp3-preview/db0345664572e0e73dc9f6e8cc9311791edbc676?cid=0e18970867524f1fba6634279dd9e5b2,0,0.0324,0.56,0.924,150.053,0.188,0.781,0.191,-7.691,0.0624
942,1744,The Bye Bye Man,The Newton Brothers,The Bye Bye Man (Original Motion Picture Soundtrack),Train Song (feat. Richard Patrick),https://p.scdn.co/mp3-preview/bdafe728b2b64a5fbd408be92ac6007906ec7aa6?cid=0e18970867524f1fba6634279dd9e5b2,11,0.221,0.549,0.34,95,0.104,0.13,0.159,-14.974,0.0428
945,1752,Spy Kids: All the Time in the World,Robert Rodriguez,Spy Kids: All the Time in the World in 4D (Original Motion Picture Soundtrack),Spy Mom,https://p.scdn.co/mp3-preview/43f1e91e8bf5834cfb9a0c3537118e1e6f820eb7?cid=0e18970867524f1fba6634279dd9e5b2,10,0.00516,0.321,0.885,118.645,0.0796,0.628,0.115,-9.394,0.055
950,1766,Invisible Essence: The Little Prince,Kevin Lau,Invisible Essence: The Little Prince (Original Motion Picture Soundtrack),End Credits,https://p.scdn.co/mp3-preview/a17b417f3f7c110eb954ead22d3baee3e2ac3730?cid=0e18970867524f1fba6634279dd9e5b2,1,0.971,0.235,0.09,99.225,0.0413,0.179,0.101,-22.885,0.0386
955,1790,Sister Cities,James T. Sale,Sister Cities (Original Motion Picture Score),I Found Mom,https://p.scdn.co/mp3-preview/68698b8365fb6197756a4b5134af27a35f232c28?cid=0e18970867524f1fba6634279dd9e5b2,0,0.983,0.543,0.0424,120.02,0.0473,0.942,0.106,-25.925,0.0391
957,1802,The Black Prince,George Kallis,The Black Prince (Original Soundtrack),Back to England,https://p.scdn.co/mp3-preview/e5ecfeb1a32723593b9d6838c4f0da6048f84b43?cid=0e18970867524f1fba6634279dd9e5b2,1,0.97,0.157,0.146,106.385,0.0359,0.873,0.105,-17.006,0.0334
964,1817,I Don't Know How She Does It,Aaron Zigman,I Don't Know How She Does It,Kate Leaves - I Have to Go,https://p.scdn.co/mp3-preview/b370f0b677ae38e884193de3048db196d1910bf0?cid=0e18970867524f1fba6634279dd9e5b2,2,0.893,0.218,0.0382,120.259,0.0392,0.337,0.283,-27.739,0.0386
967,1834,93 Days,George Kallis,93 Days (Original Motion Picture Soundtrack),The Beautiful Man,https://p.scdn.co/mp3-preview/d66af4cd99860b52c74f6184c182a762bbc23b77?cid=0e18970867524f1fba6634279dd9e5b2,1,0.693,0.116,0.209,87.518,0.0387,0.897,0.0812,-18.176,0.0339
975,1871,Rocco,Avia,Rocco (Original Motion Picture Soundtrack),Chaos,https://p.scdn.co/mp3-preview/481a08362a8098bc687540e1a4266053338c0adf?cid=0e18970867524f1fba6634279dd9e5b2,5,0.858,0.539,0.0425,71.867,0.174,0.45,0.0974,-21.943,0.0434
978,1881,Inside Man: Most Wanted,Sonya Belousova,Inside Man: Most Wanted (Original Motion Picture Soundtrack),Everyone On The Floor Now,https://p.scdn.co/mp3-preview/06548d5392bb656e9838f624d057fb466e0646fa?cid=0e18970867524f1fba6634279dd9e5b2,3,0.0487,0.32,0.73,134.714,0.0394,0.892,0.107,-13.264,0.048
979,1895,Sahara,Jerome Rebotier,Sahara (Pierre Cor챕's Original Motion Picture Soundtrack),Danse Eva - Robots and Friends,https://p.scdn.co/mp3-preview/a10dc3b258f4344d4f88c54cf8c5b47c1c99b122?cid=0e18970867524f1fba6634279dd9e5b2,5,0.00165,0.606,0.742,125.987,0.611,0.16,0.301,-8.075,0.0298
991,1934,7 Khoon Maaf,Vishal Bhardwaj,7 Khoon Maaf (Original Motion Picture Soundtrack),Darling,https://p.scdn.co/mp3-preview/bb8ce2cadea7295e91a83424978d3d2379a1f2bb?cid=0e18970867524f1fba6634279dd9e5b2,46,0.0591,0.829,0.735,126.007,0.766,6.22E-05,0.0776,-8.711,0.0882
994,1948,Dragonheart 3: The Sorcerer's Curse,Mark McKenzie,Dragonheart 3: The Sorcerer's Curse (Original Motion Picture Soundtrack),Goodbye My Friend,https://p.scdn.co/mp3-preview/1222ce0cafb68066cb25c336e868ba5b40966f33?cid=0e18970867524f1fba6634279dd9e5b2,7,0.901,0.193,0.151,64.861,0.0344,0.783,0.114,-23.191,0.0381
1001,1974,Judwaa 2,Sandeep Shirodkar,"Oonchi Hai Building 2.0 (From ""Judwaa 2"")","Lift Teri Bandh Hai (From ""Judwaa 2"")",https://p.scdn.co/mp3-preview/a0279730894d67d05c3a87aa782efb8cb6d92665?cid=0e18970867524f1fba6634279dd9e5b2,46,0.0116,0.829,0.76,107.01,0.773,1.04E-05,0.336,-5.552,0.106
1006,2003,Luv Shuv Tey Chicken Khurana,Amit Trivedi,Luv Shuv Tey Chicken Khurana (Original Motion Picture Soundtrack),KikliKalerdi,https://p.scdn.co/mp3-preview/1c494873b5218db5d102acdbcd31c9e91bd5b4bc?cid=0e18970867524f1fba6634279dd9e5b2,31,0.502,0.898,0.714,138.039,0.693,3.38E-05,0.149,-6.562,0.0567
1009,2011,Ferrari Ki Sawaari,Pritam Chakraborty,Ferrari Ki Sawaari,Mala Jau De,https://p.scdn.co/mp3-preview/573886a9638a6b98007802f994e4ed43707fa9de?cid=0e18970867524f1fba6634279dd9e5b2,32,0.113,0.443,0.913,88.363,0.674,5.41E-06,0.381,-2.398,0.265
1011,2017,Raja Natwarlal,Yuvan Shankar Raja,Raja Natwarlal,Tere Ho Ke Rahenge,https://p.scdn.co/mp3-preview/37a0f47c6c9e905007c1d369157fa2325e14c0a1?cid=0e18970867524f1fba6634279dd9e5b2,46,0.0902,0.719,0.689,115.962,0.435,0.000425,0.105,-4.467,0.0294
1016,2036,Albion: The Enchanted Stallion,George Kallis,Albion: The Enchanted Stallion (Original Motion Picture Soundtrack),The Strength to Light Our Way,https://p.scdn.co/mp3-preview/deeba9797c34e67014b697eaea4bc7ccc86e5ee8?cid=0e18970867524f1fba6634279dd9e5b2,23,0.947,0.215,0.214,89.221,0.111,0.265,0.631,-14.541,0.032
1025,2082,Duck Duck Goose,Mark Isham,Duck Duck Goose (Original Motion Picture Soundtrack),Thunder to the Ground,https://p.scdn.co/mp3-preview/8e4cc9dbd85fdd105f48bec9fd0b67b808fc3b8a?cid=0e18970867524f1fba6634279dd9e5b2,17,0.531,0.461,0.387,97.863,0.165,0.00192,0.0919,-10.943,0.0303
1037,2124,Jarhead: Law of Return,Frederik Wiedmann,Jarhead: Law of Return (Original Motion Picture Soundtrack),Home,https://p.scdn.co/mp3-preview/f00597cb5fa0fd64e6afbffdbd876f8b6540d5cc?cid=0e18970867524f1fba6634279dd9e5b2,8,0.954,0.124,0.109,95.999,0.0362,0.243,0.0886,-19.649,0.0369
1038,2129,Cities of Last Things,Rob,Cities of Last Things (Original Motion Picture Soundtrack),Drone - Omnibus,https://p.scdn.co/mp3-preview/ff0fe354018c15d14450216a06b0329c44002963?cid=0e18970867524f1fba6634279dd9e5b2,1,0.975,0.179,0.0372,119.872,0.0344,0.87,0.0758,-30.485,0.0455
1042,2141,The Crew,Joseph Trapanese,The Crew (Original Game Soundtrack),Introductions,https://p.scdn.co/mp3-preview/bd7cff3f381b2b51ad1aaf2be446abcc018d3072?cid=0e18970867524f1fba6634279dd9e5b2,23,0.00321,0.545,0.937,90.003,0.646,0.882,0.626,-9.868,0.0392
1043,2143,Dragonheart: Battle for the Heartfire,Mark McKenzie,Dragonheart: Battle for the Heartfire (Original Motion Picture Soundtrack),Ascension to the Heavens,https://p.scdn.co/mp3-preview/f8e30eab9b6906de9b6c5b7f6dafac16911cff18?cid=0e18970867524f1fba6634279dd9e5b2,9,0.947,0.148,0.121,137.929,0.035,0.868,0.0881,-19.527,0.036
1045,2146,Annabelle Hooper and the Ghosts of Nantucket,David James Nielsen,Annabelle Hooper and the Ghosts of Nantucket (Original Motion Picture Soundtrack),Welcome to Nantucket / Ferry Deck with Salt,https://p.scdn.co/mp3-preview/a57d8edba374adf1af8a5a9b129ed1d3e1c76c5e?cid=0e18970867524f1fba6634279dd9e5b2,0,0.952,0.106,0.199,66.429,0.133,0.922,0.117,-15.197,0.043
1048,2164,Mostly Sunny,Michael Vuscan,Mostly Sunny Soundtrack,Taxxxi,https://p.scdn.co/mp3-preview/ba2e0f50bfd7ad73da9a3ba56b006051d92b52d0?cid=0e18970867524f1fba6634279dd9e5b2,0,0.908,0.0782,0.136,174.822,0.0271,0.988,0.108,-25.863,0.0488
1049,2166,The Bomb,The Acid,The Bomb (Original Motion Picture Soundtrack),Onyx,https://p.scdn.co/mp3-preview/0256afd80bdd7526bd3fef65758db0c8e978b5a4?cid=0e18970867524f1fba6634279dd9e5b2,38,0.923,0.488,0.31,129.005,0.0376,0.794,0.0687,-17.533,0.0717
1055,2197,Kidnapping Stella,Michael Kamm,Kidnapping Stella (Original Music from the Netflix Movie),KS_M01_MK180823,https://p.scdn.co/mp3-preview/12f554f5035849ea0786e8fc64fc48ed9fd5a755?cid=0e18970867524f1fba6634279dd9e5b2,0,0.76,0.533,0.158,113.01,0.0559,0.886,0.0884,-27.356,0.0367
1057,2206,I'll Sleep When I'm Dead,Simon Fisher-Turner,I'll Sleep When I'm Dead,Pt. One: Reba's Song / Spiderduo / What Are You Doing Here?,https://p.scdn.co/mp3-preview/dde481949d79a8af80f6ddce05568d336780230e?cid=0e18970867524f1fba6634279dd9e5b2,0,0.833,0.335,0.254,111.932,0.0484,0.0635,0.11,-21.869,0.081
1065,2238,Generation Iron 2,Jeff Rona,Generation Iron 2 (Original Motion Picture Soundtrack),All It Takez,https://p.scdn.co/mp3-preview/39ed17c3b1a556d6176f641052969f7b251348dd?cid=0e18970867524f1fba6634279dd9e5b2,32,0.0102,0.529,0.623,180.071,0.743,0.000286,0.278,-10.022,0.386
1067,2257,All the Devil's Men,Amory Leader,All the Devil's Men (Original Motion Picture Soundtrack),TJD Securities,https://p.scdn.co/mp3-preview/fb63e83c18bb46d35abd30f69dd0fcdf719108da?cid=0e18970867524f1fba6634279dd9e5b2,2,0.559,0.266,0.161,119.958,0.0304,0.906,0.143,-24.083,0.0438
1072,2304,Thi Mai,Fernando Velazquez,Thi Mai ?쒽umbo a Vietnam??(Banda Sonora Original de la Pel챠cula),Elvira,https://p.scdn.co/mp3-preview/47c2fd1c30c313caffd06e2f27c6ea0ed5f7ba25?cid=0e18970867524f1fba6634279dd9e5b2,1,0.783,0.697,0.621,128.087,0.675,0.783,0.367,-5.544,0.0316
1074,2317,Monsters: Dark Continent,Neil Davidge,Monsters: Dark Continent,Dark Continent,https://p.scdn.co/mp3-preview/c2ce7d3399284ebbb865a09502b1555a91525da7?cid=0e18970867524f1fba6634279dd9e5b2,4,0.00316,0.542,0.851,127.155,0.218,0.856,0.121,-8.833,0.0346
1075,2320,Belief: The Possession of Janet Moses,Rhian Sheehan,Belief: The Possession of Janet Moses (Original Score),Mother,https://p.scdn.co/mp3-preview/289ac7c35d65cbe7346a2959ecd5370d3adbed8e?cid=0e18970867524f1fba6634279dd9e5b2,40,0.957,0.178,0.0031,61.866,0.037,0.909,0.0903,-30.736,0.037
1077,2333,Malicious,Jeff Cardoni,Malicious (Original Motion Picture Soundtrack),Malicious - Main Titles,https://p.scdn.co/mp3-preview/8ca44b3fe82e2e17bd9041ce305c805287acd8b3?cid=0e18970867524f1fba6634279dd9e5b2,0,0.597,0.0691,0.101,76.717,0.0562,0.942,0.0999,-22.11,0.0331
1082,2350,Justine,Jerry Goldsmith,Justine (Original Soundtrack Recording),Justine,https://p.scdn.co/mp3-preview/fa0306535bee3452a03134390084a521c0fe79df?cid=0e18970867524f1fba6634279dd9e5b2,3,0.774,0.227,0.325,108.652,0.315,0.297,0.366,-14.727,0.0342
1083,2357,Made in China,Quentin Sirjacq,Made in China (Bande originale du film),Famille retrouv챕e - Version longue,https://p.scdn.co/mp3-preview/3bf65bfe528aa81c0f898f952ee91ef7f0b66dc4?cid=0e18970867524f1fba6634279dd9e5b2,0,0.96,0.589,0.314,116.006,0.145,0.902,0.136,-12.013,0.0307
1086,2361,The Search for Life in Space,Dale Cornelius,The Search for Life in Space (Original Motion Picture Soundtrack),A Slack Key,https://p.scdn.co/mp3-preview/0f68b82d64738610370b7fe64c603f4425d6f623?cid=0e18970867524f1fba6634279dd9e5b2,11,0.879,0.365,0.2,122.202,0.22,0.933,0.145,-14.694,0.0417
1091,2397,Hide and Seek,John Ottman,Hide and Seek (Original Motion Picture Score),Hide & Seek (Emily's Theme),https://p.scdn.co/mp3-preview/a508e4f55173eacfb790822a99accd49192c48e6?cid=0e18970867524f1fba6634279dd9e5b2,13,0.927,0.148,0.179,103.717,0.074,0.639,0.279,-17.17,0.0351
1092,2398,Cabin Fever,Kevin Riepl,Cabin Fever: Original Motion Picture Soundtrack,The Clean-Up,https://p.scdn.co/mp3-preview/34e327e25d83b3183bf7986225dd72bdba34c246?cid=0e18970867524f1fba6634279dd9e5b2,6,0.00266,0.522,0.759,74.986,0.245,0.846,0.0879,-10.635,0.0368
1093,2401,Memory Games,John Piscitello,Memory Games (Original Score),Simonides,https://p.scdn.co/mp3-preview/a8f56ae9a309fd0c5e41684622216a3c7b1bb0b3?cid=0e18970867524f1fba6634279dd9e5b2,0,0.857,0.738,0.321,166.013,0.48,0.836,0.115,-18.547,0.0566
1097,2439,Dry Martina,Gabriel Chwojnik,Dry Martina,Te Vas,https://p.scdn.co/mp3-preview/9f95d817fd065f5a1eb59b8ddb8e3ab4b632d596?cid=0e18970867524f1fba6634279dd9e5b2,10,0.677,0.662,0.393,80.265,0.536,0,0.113,-11.15,0.0368
1102,2467,Sparring,Olivia Merilahti,Sparring (Bande originale du film),Only Ally,https://p.scdn.co/mp3-preview/7caa86999332131168bd648e77da8a3552b3c836?cid=0e18970867524f1fba6634279dd9e5b2,12,0.266,0.417,0.58,124.885,0.198,0.0464,0.122,-11.694,0.0465
1109,2517,Aliens Ate My Homework,Brandon Moore,Aliens Ate My Homework (Original Motion Picture Soundtrack),Rod's Adventure Begins,https://p.scdn.co/mp3-preview/4f6797476c9deb17d0b021d5e581489f5f15f8d3?cid=0e18970867524f1fba6634279dd9e5b2,0,0.97,0.231,0.0602,136.179,0.104,0.894,0.072,-19.034,0.0356
1116,2547,Dark Light,Holly Amber Church,Dark Light: Original Motion Picture Soundtrack,Hide and Seethe,https://p.scdn.co/mp3-preview/49696e3cc7f5969de08fbecccb853b324a4f46f3?cid=0e18970867524f1fba6634279dd9e5b2,0,0.488,0.25,0.0441,61.527,0.033,0.915,0.207,-23.565,0.0336
1121,2596,A Perfect Man,Jeff Cardoni,A Perfect Man (Original Motion Picture Soundtrack),For This Sin (feat. Jules Larson),https://p.scdn.co/mp3-preview/b1d433a8f920c50edc25949ffe57f8df8ae2e6d5?cid=0e18970867524f1fba6634279dd9e5b2,8,0.0195,0.491,0.459,80.039,0.106,0.48,0.0691,-9.763,0.0261
1124,2612,The App,Michele Braga,The App (Original Motion Picture Soundtrack),Mi Conosci Senza Conoscermi,,1,0.96,0.293,0.151,104.046,0.052,0.931,0.121,-16.266,0.0392
1126,2642,Water,Mychael Danna,Water (Original Motion Picture Sounddtrack),Across The River,,29,0.992,0.0872,0.0782,73.626,0.0792,0.93,0.0771,-19.078,0.0431
1127,2643,Backdraft 2,Randy Edelman,Backdraft 2 (Original Motion Picture Soundtrack),In a Hero?셲 Light,https://p.scdn.co/mp3-preview/d238e96a64bb9b783c2f27b708c8f19feb6d217a?cid=0e18970867524f1fba6634279dd9e5b2,11,0.434,0.236,0.588,130.586,0.463,0.917,0.111,-12.392,0.037
1130,2661,Planetarium,Rob,Planetarium (Original Picture Motion Soundtrack),Planetarium - Opening Theme,https://p.scdn.co/mp3-preview/f27afb92b9cc803e114c4adc1fc3ca4fda585592?cid=0e18970867524f1fba6634279dd9e5b2,1,0.951,0.1,0.186,168.523,0.0677,0.827,0.0965,-13.911,0.0378
1133,2675,Cop and a Half: New Recruit,Ryan Shore,Cop and a Half: New Recruit (Original Motion Picture Soundtrack),The Cyber-Bully,https://p.scdn.co/mp3-preview/a8a3560d0081e29f9c122f3e032484297b01918f?cid=0e18970867524f1fba6634279dd9e5b2,0,0.667,0.462,0.313,154.041,0.185,0.554,0.218,-20.209,0.0455
1135,2685,I Am Vengeance,Greenhaus,I Am Vengeance (Original Motion Picture Soundtrack),Second Chance,https://p.scdn.co/mp3-preview/de7700acb135716db40162200b6f94d045a563c9?cid=0e18970867524f1fba6634279dd9e5b2,0,0.234,0.415,0.634,79.973,0.173,0.693,0.125,-8.079,0.0321
