,title,music_director,artist_id,album_name,album_uri,track_name,preview_url,most_popular,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
18,The Perks of Being a Wallflower,Michael Brook,5NTEVDdw1KuWN3cUX3kZ1y,The Perks of Being a Wallflower (Original Score),spotify:album:6NTkwjInSw1XYLToYeY7HH,Home Again,https://p.scdn.co/mp3-preview/8e4faa124d94a9c6fd521a2f68b00de9efd7a1f5?cid=0e18970867524f1fba6634279dd9e5b2,6W688PfSdptGPQMPb687Oq,37,0.987,0.261,0.10800000000000001,174.106,0.139,0.977,0.209,-17.865,0.0387
20,Ex Machina,Geoff Barrow,53b2a4ytPlelgBJYLLocWh,Ex Machina (Original Motion Picture Soundtrack),spotify:album:73JQnkZK21PuqE4qF3TLJE,The Turing Test,https://p.scdn.co/mp3-preview/3d7f93b49fc6d9c971917c3e6d7253f87f95227a?cid=0e18970867524f1fba6634279dd9e5b2,24tp9KQWD7EVkPiHcO1pPE,41,0.96,0.19399999999999998,0.0436,138.908,0.0294,0.899,0.105,-31.458000000000002,0.039
21,Silver Linings Playbook,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,Silver Linings Playbook (Original Score),spotify:album:6xjshdtSVHnwzETdhKPPLY,Happy Ending,https://p.scdn.co/mp3-preview/2c242d08f79d58c4c2c530399540a12c274aeae8?cid=0e18970867524f1fba6634279dd9e5b2,3U6dwrHIToo5DIAhAQzZff,27,0.862,0.369,0.331,99.92399999999999,0.201,0.948,0.0925,-14.677999999999999,0.032
22,District 9,Clinton Shorter,23Vu6ClvSnmNSbz3ODd3iJ,District 9 (Original Motion Picture Soundtrack),spotify:album:3F4kQDXbqW842P77PeXcaR,Prawnkus,https://p.scdn.co/mp3-preview/dc6c8687518893e94b2ddd65bb500323d94c534b?cid=0e18970867524f1fba6634279dd9e5b2,7BcP7BxG7eu9PxTckz1jz6,43,0.9229999999999999,0.16399999999999998,0.0933,129.94,0.0321,0.87,0.109,-22.456999999999997,0.04
23,Moon,Clint Mansell,01xiB0IlXMXy3wrrotgDnU,Moon (Original Score),spotify:album:0ux9vxJhJoFKaD66UH3160,Welcome to Lunar Industries,https://p.scdn.co/mp3-preview/8cb269eff5e12d893c06f7644ec0e675037d73ce?cid=0e18970867524f1fba6634279dd9e5b2,4NkxNXR19hl20qlB2DOgAx,48,0.88,0.272,0.284,111.64200000000001,0.0364,0.892,0.121,-17.183,0.0349
24,Marriage Story,Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,Marriage Story (Original Music from the Netflix Film),spotify:album:1EZbgvaW3e8FQ3nkobmOT7,Sgt. Pepper Shoelaces,https://p.scdn.co/mp3-preview/a8c7a9bac7391a6f9dcf6ab8115870ccba74b1b8?cid=0e18970867524f1fba6634279dd9e5b2,504PWfqBQERF7bIp0n9yQU,40,0.995,0.536,0.0397,83.99799999999999,0.502,0.961,0.10800000000000001,-22.138,0.0511
25,Drive,Cliff Martinez,2OVqg3lxC8ZIf0vHcEqaCf,I Drive (Waveshaper Remix) [The Rise of the Synths Presents],spotify:album:1CDFWWdlW84M8iV3igeSa7,I Drive (Waveshaper Remix) [The Rise of the Synths Presents],https://p.scdn.co/mp3-preview/9bb8cc30f829e94bfb685fa0842d67fe82f228ae?cid=0e18970867524f1fba6634279dd9e5b2,0YGjxKg88WyeypRJhA7AQz,17,0.016,0.273,0.903,192.58700000000002,0.0784,0.0381,0.0998,-6.1160000000000005,0.106
27,Incredibles 2,Michael Giacchino,4kLvhMAuCloLxoP1aVM7Lr,Incredibles 2 (Original Motion Picture Soundtrack),spotify:album:3IHbzhwVY9IMUfjbxRqNpa,Incredits 2,,6wsDkHrzZkztogf7qSwvNf,25,0.524,0.446,0.606,123.773,0.182,0.13,0.873,-8.338,0.0931
28,Dangal,Pritam Chakraborty,1wRPtKGflJrBx9BmLsSwlU,Dangal (Original Motion Picture Soundtrack),spotify:album:3xK8rPlzF8LDHIIVYsDJUD,Naina,https://p.scdn.co/mp3-preview/534433be09560f3876589e986fc628de0c4b4b30?cid=0e18970867524f1fba6634279dd9e5b2,0Yld4eVEV6rBvpijVU2s6l,64,0.772,0.501,0.445,80.086,0.38799999999999996,0.0,0.11699999999999999,-8.432,0.0337
30,Minority Report,John Williams,3dRfiJ2650SZu6GbydcHNb,Minority Report,spotify:album:03NRsUyn4zsR81Tk3cDffW,Sean's Theme - Minority Report Soundtrack,,4PDP0h1F8TfD1gUHEw8SoR,16,0.937,0.14,0.0129,69.87899999999999,0.126,0.899,0.153,-33.012,0.0365
33,Despicable Me,Heitor Pereira,2RaHCHhZWBXn460JpMaicz,Despicable Me 3 (Original Motion Picture Score),spotify:album:53ZqGGkT3kztvFZoHwlneT,Evil Bratt Show,https://p.scdn.co/mp3-preview/edde11e572d728870073cc23706715e9abcf1c13?cid=0e18970867524f1fba6634279dd9e5b2,70nuoJ47sZ2cusZOSVdSoi,15,0.00172,0.556,0.542,146.922,0.34,0.249,0.364,-12.308,0.0509
37,Indiana Jones and the Temple of Doom,John Williams,3dRfiJ2650SZu6GbydcHNb,Indiana Jones and the Temple of Doom (Original Motion Picture Soundtrack),spotify:album:41sETAIYdCFy0MaGnaFPFQ,End Credits,,1ZHgggkMFCD1nWH47C4ZMX,32,0.708,0.19399999999999998,0.406,180.15900000000002,0.305,0.602,0.114,-12.645999999999999,0.042
39,Senna,Antonio Pinto,7jBJcoFeQkHaqrJBIZsd5h,Original Music From The Motion Picture Senna,spotify:album:71j2ZNSAk1jkbagJcpy8IL,God - Senna Theme,,3qVI0glCZscaCREU4YRev2,34,0.491,0.0,0.19399999999999998,0.0,0.0,0.8809999999999999,0.11199999999999999,-19.114,0.0
42,The Hateful Eight,Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,The Hateful Eight Overture,spotify:album:0RZh48QBbgp9KLJPxBl4fs,"Overture (From ""The Hateful Eight"" Soundtrack)",https://p.scdn.co/mp3-preview/2ec35a0e6e4557d7bc91263ec8b6a0664ee880eb?cid=0e18970867524f1fba6634279dd9e5b2,62L6yFoiQB1RtkvuVEjPQh,10,0.862,0.34600000000000003,0.253,82.44200000000001,0.0366,0.951,0.0807,-14.204,0.0461
48,Snowpiercer,Marco Beltrami,7yAPsqNhqqsTGsuOSZJg0i,Snowpiercer (Original Motion Picture Soundtrack),spotify:album:3MDDwF3gIeLN9u7rOOgJeJ,Sushi,,0Zfq6v3Dor5zJh3ccdC2cS,18,0.996,0.363,0.00498,168.62099999999998,0.19,0.9309999999999999,0.0648,-32.216,0.0479
49,Hugo,Howard Shore,0OcclcP5o8VKH2TRqSY2A7,Hugo Original Score,spotify:album:5iql1G4PgnYxse1Vf4mpfc,The Thief,https://p.scdn.co/mp3-preview/ff6c7ef30e85293597c95030e0b2c5016c732f5a?cid=0e18970867524f1fba6634279dd9e5b2,7JC3Est8tdw3nMzBg2P2EQ,31,0.723,0.253,0.109,113.484,0.0894,0.6409999999999999,0.0721,-21.238000000000003,0.0355
56,Molly's Game,Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR,Molly's Game (Original Motion Picture Soundtrack),spotify:album:4jTmFpIf8sSJV4PVbFJiJD,Molly's Dream,https://p.scdn.co/mp3-preview/6ae546ba254951ff2e14f61fc3544365d71173fa?cid=0e18970867524f1fba6634279dd9e5b2,7rtrXPWJ2J7lIKX4jnxukS,22,0.988,0.27699999999999997,0.000637,72.709,0.0,0.903,0.0964,-33.8,0.0521
57,El Camino: A Breaking Bad Movie,Dave Porter,1WkfFuCfD2BnsiyPElbEv5,"Underpass / Frozen Money (from ""El Camino: A Breaking Bad Movie"")",spotify:album:4WrOQtZm7LoK78PzJDCL63,Underpass,https://p.scdn.co/mp3-preview/09e64976585c043038ac7cd31df469da7b1bb7e8?cid=0e18970867524f1fba6634279dd9e5b2,1zr8jiR5z6XMssAskeN1wG,4,0.948,0.305,0.0424,100.14299999999999,0.0364,0.774,0.084,-26.35,0.0323
58,End of Watch,David Sardy,0np7Gr66erHdUHa86JX1bj,End of Watch,spotify:album:5CCvrUPr21B5TIcs6Jb0be,Funeral,https://p.scdn.co/mp3-preview/525e814ad8b37c4bde30ae465663a2aa0422b111?cid=0e18970867524f1fba6634279dd9e5b2,1jmtbThX6ZVpxO24ce9z9z,16,0.915,0.568,0.18600000000000003,109.09299999999999,0.0373,0.948,0.0668,-15.745999999999999,0.0322
63,Mud,David Wingo,7mRf8eSpaoh4FD8D4mtvRk,Mud (Original Motion Picture Soundtrack),spotify:album:7h6PXzLN0A1PphvpuFXsPW,Sleeping in Trees,https://p.scdn.co/mp3-preview/a12130dc8bbc07b60b1af0dfc181b6b299bc1484?cid=0e18970867524f1fba6634279dd9e5b2,3hVUhX8QkY4KSiSB0gvneV,3,0.929,0.285,0.34700000000000003,170.449,0.0392,0.6609999999999999,0.10099999999999999,-16.019000000000002,0.0466
67,The Two Popes,Bryce Dessner,5HHKeO04SOcxUxjruFXf5l,The Two Popes (Music from the Netflix Film),spotify:album:1z9HDqrGiW1TcUsd8eDkKv,Walls 2,https://p.scdn.co/mp3-preview/b67e663e244a2314c374ea1f1ee911f34d177f8a?cid=0e18970867524f1fba6634279dd9e5b2,1hAQgdas2godxQn4EERd3r,30,0.963,0.335,0.0688,52.025,0.278,0.843,0.124,-26.686,0.0406
68,The Last Samurai,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,The Last Samurai: Original Motion Picture Score,spotify:album:1EqLdtiBSgULHA01ooROeY,A Way of Life,https://p.scdn.co/mp3-preview/53eaa9f8b2437bbb727892962fa8862f1c2f8052?cid=0e18970867524f1fba6634279dd9e5b2,6DHYWelHYuynVVPv2m58wl,57,0.895,0.0923,0.031,86.63600000000001,0.0344,0.9159999999999999,0.0766,-29.351,0.0454
72,Dolemite Is My Name,Scott Bomar,76U2ctIFClRwEXVv28BVtk,Dolemite Is My Name (Music from the Netflix Film),spotify:album:6Jf9FSFmcEio2NKiSSpKzj,Like I Should,https://p.scdn.co/mp3-preview/a622e71ddbfbe88a6578e90b4eb70f461ffeeb70?cid=0e18970867524f1fba6634279dd9e5b2,7BC9IJSNyLnFfgN4RACrCi,18,0.0783,0.711,0.774,102.542,0.885,1.6e-06,0.0446,-5.686,0.0389
73,Tarzan,David Newman,1dDZTSkKTjksBy9tfsf9ob,Tarzan (Original Motion Picture Soundtrack),spotify:album:241KIrGkAcwL3CigeTWu1U,Loud Like Love,https://p.scdn.co/mp3-preview/9c2fb266771c5251957d2f9b77c6ac9a22287c8f?cid=0e18970867524f1fba6634279dd9e5b2,3GC21T8R8p7h5EM0aqVMSZ,9,0.00016,0.402,0.9440000000000001,152.971,0.368,6.91e-06,0.114,-4.732,0.0559
76,Saving Mr. Banks,Thomas Newman,1csBgT42N4pPPs1HJhxXIK,Saving Mr. Banks (Original Motion Picture Soundtrack/Deluxe Edition/Japan Release Version),spotify:album:2dzpE0Kj2ZDC0DcYlvPMqt,Saving Mr. Banks (End Title),,1gNm4eUiNFfT35aEdwh0sP,11,0.9570000000000001,0.309,0.281,105.87799999999999,0.10300000000000001,0.271,0.0815,-12.745999999999999,0.0312
77,Icarus,Adam Peters,5p07GMal2RwFDOZergTwrD,Icarus (Original Motion Picture Soundtrack),spotify:album:0JPFURtzSmRzV6fNpRQbmo,Icarus Ending,https://p.scdn.co/mp3-preview/179b3d4df84d93c254e5e27d219d0d0540d61799?cid=0e18970867524f1fba6634279dd9e5b2,66OoD5gtArlgEuVxbKmiVV,22,0.973,0.486,0.361,106.141,0.33899999999999997,0.93,0.0883,-16.829,0.0288
80,The Death of Stalin,Christopher Willis,1Qu6r22G2M8Xqz0GawYv8P,The Death of Stalin (Original Motion Picture Soundtrack),spotify:album:5Zxi1BkhBJepOzxDVPMq7N,"Moscow, 1953",https://p.scdn.co/mp3-preview/ea5df6d32967c37936aabfd0943f277d30c8d7c2?cid=0e18970867524f1fba6634279dd9e5b2,0GREFS4WQl6knuuWCXTfF5,0,0.847,0.42,0.257,99.984,0.0643,0.887,0.09699999999999999,-14.524000000000001,0.0366
86,Extraction,Ryan Dodson,7DGPUEdpTMR3iClyv2VjsW,Extraction (Original Motion Picture Soundtrack),spotify:album:4JDC5b2LOjHWIu1mx1Z52K,The Agent,https://p.scdn.co/mp3-preview/38e0c4a99533d5d545da64ba67238fa1607dcaea?cid=0e18970867524f1fba6634279dd9e5b2,1P9m25fRg4ZhLPyGtzSATd,1,0.193,0.25,0.677,96.03200000000001,0.034,0.843,0.172,-14.26,0.0389
88,Blue Valentine,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,Blue Valentine (Original Motion Picture Soundtrack),spotify:album:47trTvq8D3X8PH4CzrcpDW,Granny Diner,https://p.scdn.co/mp3-preview/8340eacc50750ce9407f06ccec49b55e7c97ea6c?cid=0e18970867524f1fba6634279dd9e5b2,1zbBPMzpTqsXVbs7OHE0rI,16,0.9159999999999999,0.259,0.129,93.626,0.0398,0.684,0.38799999999999996,-18.872,0.0371
90,Green Room,Will Blair,1qaepe7DVrHTHCAGRoPIiZ,Green Room (Original Motion Picture Soundtrack),spotify:album:5BaEwI6omNndtdnwzQMTlv,"Nazi Punks, Fuck Off",https://p.scdn.co/mp3-preview/0093c50dd05d72a20b856361594bb5defeb7813d?cid=0e18970867524f1fba6634279dd9e5b2,1taFNyAVcvOxBH6jvh5kmh,4,9.96e-05,0.248,0.995,150.708,0.429,0.0,0.53,-4.816,0.183
91,Kung Fu Panda 2,John Powell,3EAHF3jdnHHdko5DBrhRUP,Kung Fu Panda 2 (Music From The Motion Picture),spotify:album:5YUAFEUOhUfgBZuM6rNzPY,Po Finds The Truth,,77MZvMDdT2u2NB4cgOZWVm,30,0.511,0.171,0.214,62.568000000000005,0.0393,0.5870000000000001,0.0982,-16.396,0.0372
92,The Ballad of Buster Scruggs,Carter Burwell,0SbSDzM4X41hnlURed0fcV,The Ballad of Buster Scruggs (Original Motion Picture Soundtrack),spotify:album:030eckHpJ6wrCPdyQwsqbR,When A Cowboy Trades His Spurs For Wings,https://p.scdn.co/mp3-preview/792a1d2a011109f68cbccad8365f1a631f0e19d5?cid=0e18970867524f1fba6634279dd9e5b2,4rM4UGMXWH03SGZUobuxoW,29,0.8190000000000001,0.575,0.226,135.361,0.478,0.0,0.121,-12.637,0.0365
93,The Adventures of Tintin,John Williams,3dRfiJ2650SZu6GbydcHNb,The Adventures of Tintin,spotify:album:3nZbLNMtn9PLjxewl69Tbn,The Adventures of Tintin,https://p.scdn.co/mp3-preview/e8e6ecd4964012956e97e7ab30508b5ee47e2423?cid=0e18970867524f1fba6634279dd9e5b2,3SZwCb3pLqVYNJAfh6yF3O,31,0.741,0.634,0.11800000000000001,133.856,0.474,0.748,0.214,-22.22,0.0351
101,Solo: A Star Wars Story,John Powell,3EAHF3jdnHHdko5DBrhRUP,Solo: A Star Wars Story (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:6LZ22lC8hPo6YxbPXTyZgJ,Meet Han (1M1),,2I3ia00g6kUAYPl6ihmsH4,24,0.21,0.196,0.39399999999999996,130.899,0.0392,0.945,0.105,-16.016,0.0639
102,Steve Jobs,Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR,Steve Jobs (Original Motion Picture Soundtrack),spotify:album:4kDt5YadNve6Oq40IyfFBH,The Skylab Plan,https://p.scdn.co/mp3-preview/93bc73c4ef67888d3e37b1d20e359bab31f3da84?cid=0e18970867524f1fba6634279dd9e5b2,4canjtEMpiOJ9Fccb5FnI4,29,0.215,0.526,0.49200000000000005,90.006,0.19899999999999998,0.862,0.0762,-11.677,0.0324
103,The Croods,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,The Croods (Original Motion Picture Soundtrack),spotify:album:2ZroGpxG703QHPw2JyYjbr,Shine Your Way,https://p.scdn.co/mp3-preview/7927c803afff53657dda54bdc7b6b1a27f080887?cid=0e18970867524f1fba6634279dd9e5b2,0oBAcOnHW6NsjfMpGQG55x,0,0.00796,0.6940000000000001,0.44299999999999995,120.01899999999999,0.642,0.0,0.0731,-8.136000000000001,0.0456
104,Locke,Dickon Hinchliffe,3SzIzpOIDpgwKNWaKL4FG4,Locke (The Original Motion Picture Soundtrack),spotify:album:5gFJ00iRdSuuGpzzaKHLIi,Baby,,4SSGzYS0HYpl12UaIdVfiQ,22,0.324,0.44,0.27,125.969,0.039,0.927,0.16399999999999998,-15.21,0.0376
105,Starred Up,Tony Doogan,19CNrPSP5twBKtPPwDFvmz,Starred Up (Original Motion Picture Soundtrack),spotify:album:49VfHqHD95KR12RaiZGB5A,End Piece,https://p.scdn.co/mp3-preview/1b3c23d456df39ece65f3a87ca47ac5909a438cd?cid=0e18970867524f1fba6634279dd9e5b2,31QzGERpgTkDTsqtOAAV7B,9,0.171,0.48100000000000004,0.46399999999999997,103.97,0.168,0.163,0.13,-9.392000000000001,0.0256
106,Mudbound,Tamar-kali,7JIvYIoSFTMVO2q7FoWO1e,Mudbound (Original Motion Picture Soundtrack),spotify:album:71tUJzUAgTLBC2Y1kspYxT,Mighty River,https://p.scdn.co/mp3-preview/bc9e86c9bc559079bb12ae0c9eb8b10e00317580?cid=0e18970867524f1fba6634279dd9e5b2,7nRaKaePqneAjVQXGLmYPs,19,0.479,0.276,0.261,73.17399999999999,0.322,0.0,0.158,-13.47,0.0475
108,Blue Ruin,Brooke Blair,1MkCnZKJnLNlLUv2AEclLw,Blue Ruin (Original Score),spotify:album:7o4vnt3G0wFMUG0FlkrJOD,Bad News,https://p.scdn.co/mp3-preview/5847ca8abb162e511cac956630c845d6e8862deb?cid=0e18970867524f1fba6634279dd9e5b2,28SU4sXc0OzlmcaIJ9wjvG,5,0.988,0.135,0.00168,141.561,0.0372,0.9570000000000001,0.135,-26.908,0.0708
112,Haider,Vishal Bhardwaj,1JdHoZwkwOmX2Pl2iTwnzc,Haider - Original Background Score,spotify:album:5PZpNjHFGSbUTIpQPq5EZd,Haider Theme,https://p.scdn.co/mp3-preview/21c5692cb1add3720c63ad52d62cd4ad0b0572a9?cid=0e18970867524f1fba6634279dd9e5b2,2zmL8Ts46l8mIJYGkWe4X7,5,0.972,0.27,0.105,89.963,0.0313,0.963,0.0745,-16.279,0.0378
113,Hush,The Newton Brothers,7dlJy6RJTqYprtHmWYBOv3,Hush (Original Motion Picture Soundtrack),spotify:album:3dDXFoUF2ISRRADcsPndMO,Against the Odds (End Credits),https://p.scdn.co/mp3-preview/5a36d2f96a7fa4128f372a086a341d418e0fd887?cid=0e18970867524f1fba6634279dd9e5b2,5EigvslpVw0pnL4ZeZntzi,15,0.5670000000000001,0.2,0.191,119.905,0.0398,0.738,0.115,-18.767,0.0363
114,Elizabeth,David Hirschfelder,5JAUs92Wa8WKj9pnsVVRRY,Elizabeth - Original Soundtrack,spotify:album:1qUB2aM7CwALIVCWm26Ti5,Dansereye (1551): Rondes I & VII,,3NG90ZlHxviNcZ6EzAdAJF,22,0.935,0.551,0.0551,128.569,0.7340000000000001,0.155,0.152,-32.128,0.0352
118,The Autopsy of Jane Doe,Danny Bensi,7fO0iCzJh7IvVEFiFYfOC2,The Autopsy of Jane Doe (Original Motion Picture Soundtrack),spotify:album:5VViH2XkRVVmS6RvuGFfH6,Jane Doe,https://p.scdn.co/mp3-preview/ec2f27ad6aea7b1fd8fc2154a77b90109242bb78?cid=0e18970867524f1fba6634279dd9e5b2,208511AuMN9xBFI4Lqovlw,13,0.688,0.126,0.0967,147.773,0.0388,0.893,0.105,-24.686,0.0393
119,Virunga,Patrick Jonsson,5wedfwksIuL9RVB3VpGxcl,Virunga (Original Motion Picture Soundtrack),spotify:album:5AoWf5YoeBIW8i14FKULS7,Virunga National Park,,0wdXpggKCuQlh0uycCtXG1,10,0.97,0.424,0.252,130.111,0.0359,0.917,0.10300000000000001,-15.392000000000001,0.0346
121,The Master,Jonny Greenwood,0z9s3P5vCzKcUBSxgBDyLU,The Master: Original Motion Picture Soundtrack,spotify:album:3Ggrc0BQZDRuxdwtvXYWkZ,No Other Love (feat. Jo Stafford),https://p.scdn.co/mp3-preview/603d84b0e067c1b39a3876506dd28336bfd34976?cid=0e18970867524f1fba6634279dd9e5b2,1P5y5njqYWr5qXnvSTKTij,37,0.975,0.418,0.0585,98.185,0.23600000000000002,0.0028699999999999997,0.115,-15.772,0.0329
