,title,music_director,artist_id,album_uri
55,To All the Boys I've Loved Before,Joe Wong,62TZuRSv7K8KK5BmL90K32,
56,Molly's Game,Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR,spotify:album:4jTmFpIf8sSJV4PVbFJiJD
57,El Camino: A Breaking Bad Movie,Dave Porter,1WkfFuCfD2BnsiyPElbEv5,spotify:album:4WrOQtZm7LoK78PzJDCL63
58,End of Watch,David Sardy,0np7Gr66erHdUHa86JX1bj,spotify:album:5CCvrUPr21B5TIcs6Jb0be
59,The Evil Dead,Joseph LoDuca,7K8ZZVUXpoWs9KH9VAoVhi,
60,About Time,Nick Laird-Clowes,56OlOgSvpY0dGFjQaZhGAC,
61,Blue Is the Warmest Color,Lucile Egal,,
62,The Naked Gun: From the Files of Police Squad!,Ira Newborn,665KyJHrkWF8QJ94IyHKKZ,
63,Mud,David Wingo,7mRf8eSpaoh4FD8D4mtvRk,spotify:album:7h6PXzLN0A1PphvpuFXsPW
64,Philadelphia,Howard Shore,0OcclcP5o8VKH2TRqSY2A7,
65,Tucker and Dale vs. Evil,Mike Shields,4jWcp8jMV8bggkTcsp1tqm,
66,The Matrix Reloaded,Don Davis,3eCpCUtYdBCM1twAb4mk8I,
67,The Two Popes,Bryce Dessner,5HHKeO04SOcxUxjruFXf5l,spotify:album:1z9HDqrGiW1TcUsd8eDkKv
68,The Last Samurai,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,spotify:album:1EqLdtiBSgULHA01ooROeY
69,The Florida Project,Matthew Hearon-Smith,,
70,13th,Jason Moran,7g3iwvP459BN53F7CDxemI,
71,The Dawn Wall,Adam Crystal,25reUnj1GP4HIRCcGtf5w3,
72,Dolemite Is My Name,Scott Bomar,76U2ctIFClRwEXVv28BVtk,spotify:album:6Jf9FSFmcEio2NKiSSpKzj
73,Tarzan,David Newman,1dDZTSkKTjksBy9tfsf9ob,spotify:album:241KIrGkAcwL3CigeTWu1U
74,Okja,Jaeil Jung,34J5kKR5szbJ5fGK7f8HCU,
75,Roma,Lynn Fainchtein,,
76,Saving Mr. Banks,Thomas Newman,1csBgT42N4pPPs1HJhxXIK,spotify:album:2dzpE0Kj2ZDC0DcYlvPMqt
77,Icarus,Adam Peters,5p07GMal2RwFDOZergTwrD,spotify:album:0JPFURtzSmRzV6fNpRQbmo
78,Corpse Bride,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,
79,Jerry Maguire,Nancy Wilson,2JfVCMa3FlvQRlLT5uH9zb,
80,The Death of Stalin,Christopher Willis,1Qu6r22G2M8Xqz0GawYv8P,spotify:album:5Zxi1BkhBJepOzxDVPMq7N
81,GoldenEye,Eric Serra,1DptMAbvFajxK4ZObg1OdA,
82,Amy,Robert F. Brunner,,
83,Good Time,Daniel Lopatin,13PoSkMaBxmC6EeAu2oBhH,
84,The Spectacular Now,Rob Simonsen,2ZeUaZT3s3NSbeV7OS094J,
85,Baahubali 2: The Conclusion,M.M. Keeravani,12l1SqSNsg2mI2IcXpPWjR,
86,Extraction,Ryan Dodson,7DGPUEdpTMR3iClyv2VjsW,spotify:album:4JDC5b2LOjHWIu1mx1Z52K
87,The Lobster,Amy Ashworth,,
88,Blue Valentine,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,spotify:album:47trTvq8D3X8PH4CzrcpDW
89,Zindagi Na Milegi Dobara,Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a,
90,Green Room,Will Blair,1qaepe7DVrHTHCAGRoPIiZ,spotify:album:5BaEwI6omNndtdnwzQMTlv
91,Kung Fu Panda 2,John Powell,3EAHF3jdnHHdko5DBrhRUP,spotify:album:5YUAFEUOhUfgBZuM6rNzPY
92,The Ballad of Buster Scruggs,Carter Burwell,0SbSDzM4X41hnlURed0fcV,spotify:album:030eckHpJ6wrCPdyQwsqbR
93,The Adventures of Tintin,John Williams,3dRfiJ2650SZu6GbydcHNb,spotify:album:3nZbLNMtn9PLjxewl69Tbn
94,Bolt,John Powell,3EAHF3jdnHHdko5DBrhRUP,
95,Chasing Amy,David Pirner,6yPKZzirOuI1d5bnRvQHSv,
96,The Princess and the Frog,Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,
97,A Single Man,Abel Korzeniowski,5RGAUCWFZyymaMSAZJeice,
98,Blow,Graeme Revell,7H6sziUg6YjKlef45qOv8h,
99,The Squid and the Whale,Britta Phillips,0IA38jACu3c1SNAJ7Aeu4t,
100,My Life as a Zucchini,Sophie Hunger,3nOQJdlPEzFVhTEzxwcGax,
101,Solo: A Star Wars Story,John Powell,3EAHF3jdnHHdko5DBrhRUP,spotify:album:6LZ22lC8hPo6YxbPXTyZgJ
102,Steve Jobs,Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR,spotify:album:4kDt5YadNve6Oq40IyfFBH
103,The Croods,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,spotify:album:2ZroGpxG703QHPw2JyYjbr
104,Locke,Dickon Hinchliffe,3SzIzpOIDpgwKNWaKL4FG4,spotify:album:5gFJ00iRdSuuGpzzaKHLIi
105,Starred Up,Tony Doogan,19CNrPSP5twBKtPPwDFvmz,spotify:album:49VfHqHD95KR12RaiZGB5A
106,Mudbound,Tamar-kali,7JIvYIoSFTMVO2q7FoWO1e,spotify:album:71tUJzUAgTLBC2Y1kspYxT
107,Austin Powers: International Man of Mystery,George S. Clinton,7yNXDeNn1rHZaEk941GcWZ,
108,Blue Ruin,Brooke Blair,1MkCnZKJnLNlLUv2AEclLw,spotify:album:7o4vnt3G0wFMUG0FlkrJOD
109,Babel,Gustavo Santaolalla,4W3fa7tiXGVXl3KilbACqt,
110,Gerald's Game,The Newton Brothers,7dlJy6RJTqYprtHmWYBOv3,
111,Miracle,Mark Isham,5qlzaXu4riV8YLrL97cwyI,
112,Haider,Vishal Bhardwaj,1JdHoZwkwOmX2Pl2iTwnzc,spotify:album:5PZpNjHFGSbUTIpQPq5EZd
113,Hush,The Newton Brothers,7dlJy6RJTqYprtHmWYBOv3,spotify:album:3dDXFoUF2ISRRADcsPndMO
114,Elizabeth,David Hirschfelder,5JAUs92Wa8WKj9pnsVVRRY,spotify:album:1qUB2aM7CwALIVCWm26Ti5
115,Miss Americana,Alex Somers,51UcKPhDKdKDGIjec0781x,
116,Christopher Robin,Jon Brion,57YJQe0ayvIaRZJ3PW5nFP,
117,I Am Mother,Dan Luscombe,0D3V4C2H1DcTptuQievFAQ,
118,The Autopsy of Jane Doe,Danny Bensi,7fO0iCzJh7IvVEFiFYfOC2,spotify:album:5VViH2XkRVVmS6RvuGFfH6
119,Virunga,Patrick Jonsson,5wedfwksIuL9RVB3VpGxcl,spotify:album:5AoWf5YoeBIW8i14FKULS7
120,Freedom Writers,Mark Isham,5qlzaXu4riV8YLrL97cwyI,
121,The Master,Jonny Greenwood,0z9s3P5vCzKcUBSxgBDyLU,spotify:album:3Ggrc0BQZDRuxdwtvXYWkZ
122,A Serious Man,Carter Burwell,0SbSDzM4X41hnlURed0fcV,spotify:album:37oDkR5LEegMqj7HQg5iQS
123,The Breadwinner,Mychael Danna,0x8J72N9ilqcIZbWEKB8T2,spotify:album:6Rieb2QYFPoZzW2FF31ayB
124,The Boy Who Harnessed the Wind,Antonio Pinto,7jBJcoFeQkHaqrJBIZsd5h,spotify:album:7LmnVBPgo0rWdlm1mu014G
125,Article 15,Mangesh Dhakde,4zdNcohSOQooKGsNaLAzjJ,
126,Lawless,Nick Cave,4UXJsSlnKd7ltsrHebV79Q,spotify:album:7gqfGIm4aEPpl1UTfGt1Ph
