id,title,year,query_title,movie_url
3724,Christine,2016,Christine,/movie/bi/mi/basic.naver?code=137983
3725,Hearts Beat Loud,2018,Hearts+Beat+Loud,/movie/bi/mi/basic.naver?code=171453
3727,Angel of Mine,2019,Angel+of+Mine,/movie/bi/mi/basic.naver?code=180370
3729,Pawn Sacrifice,2015,Pawn+Sacrifice,0
3731,Ben Is Back,2018,Ben+Is+Back,/movie/bi/mi/basic.naver?code=171470
3733,No Strings Attached,2011,No+Strings+Attached,/movie/bi/mi/basic.naver?code=78160
3738,Operation Finale,2018,Operation+Finale,/movie/bi/mi/basic.naver?code=172771
3742,The Domestics,2018,The+Domestics,/movie/bi/mi/basic.naver?code=162236
3745,The Commuter,2018,The+Commuter,0
3749,Miss Stevens,2016,Miss+Stevens,/movie/bi/mi/basic.naver?code=147045
3754,The Keeper of Lost Causes,2013,The+Keeper+of+Lost+Causes,0
3755,Sea of Shadows,2019,Sea+of+Shadows,0
3760,What They Had,2018,What+They+Had,/movie/bi/mi/basic.naver?code=168038
3764,Every Day,2018,Every+Day,/movie/bi/mi/basic.naver?code=170824
3766,Brian Banks,2019,Brian+Banks,0
3769,Becoming Bond,2017,Becoming+Bond,/movie/bi/mi/basic.naver?code=158695
3770,After the Screaming Stops,2018,After+the+Screaming+Stops,/movie/bi/mi/basic.naver?code=180516
3773,The Frozen Ground,2013,The+Frozen+Ground,0
3779,Death Wish,2018,Death+Wish,/movie/bi/mi/basic.naver?code=158621
3783,"Love, Gilda",2018,Love%2C+Gilda,/movie/bi/mi/basic.naver?code=175446
3787,"Where'd You Go, Bernadette",2019,Where%27d+You+Go%2C+Bernadette,0
3794,First Girl I Loved,2016,First+Girl+I+Loved,/movie/bi/mi/basic.naver?code=146576
3798,Meek's Cutoff,2010,Meek%27s+Cutoff,0
3801,The Limehouse Golem,2016,The+Limehouse+Golem,/movie/bi/mi/basic.naver?code=140065
3806,Star Trek: The Motion Picture,1979,Star+Trek%3A+The+Motion+Picture,/movie/bi/mi/basic.naver?code=10074
3809,Southbound,2015,Southbound,/movie/bi/mi/basic.naver?code=146071
3811,American Ultra,2015,American+Ultra,/movie/bi/mi/basic.naver?code=117802
3812,Hellbound: Hellraiser II,1988,Hellbound%3A+Hellraiser+II,/movie/bi/mi/basic.naver?code=13826
3816,David Crosby: Remember My Name,2019,David+Crosby%3A+Remember+My+Name,0
3819,Marrowbone,2017,Marrowbone,/movie/bi/mi/basic.naver?code=152644
3822,Those People,2015,Those+People,/movie/bi/mi/basic.naver?code=149793
3826,Red Dog: True Blue,2016,Red+Dog%3A+True+Blue,/movie/bi/mi/basic.naver?code=159145
3827,Assassination Nation,2018,Assassination+Nation,/movie/bi/mi/basic.naver?code=158608
3830,I Remember You,2017,I+Remember+You,/movie/bi/mi/basic.naver?code=169635
3840,Grabbers,2012,Grabbers,/movie/bi/mi/basic.naver?code=90947
3843,Little Woods,2018,Little+Woods,/movie/bi/mi/basic.naver?code=168014
3852,The 33,2015,The+33,/movie/bi/mi/basic.naver?code=113352
3853,Mike Wallace Is Here,2019,Mike+Wallace+Is+Here,0
3857,The Man Who Killed Hitler and Then the Bigfoot,2019,The+Man+Who+Killed+Hitler+and+Then+the+Bigfoot,0
3861,Toni Morrison: The Pieces I Am,2019,Toni+Morrison%3A+The+Pieces+I+Am,/movie/bi/mi/basic.naver?code=182066
3863,Dog Days,2018,Dog+Days,/movie/bi/mi/basic.naver?code=168031
3864,Monsters and Men,2018,Monsters+and+Men,/movie/bi/mi/basic.naver?code=172300
3865,The Canal,2014,The+Canal,/movie/bi/mi/basic.naver?code=122652
3866,Leap Year,2010,Leap+Year,/movie/bi/mi/basic.naver?code=72222
3869,The League of Extraordinary Gentlemen,2003,The+League+of+Extraordinary+Gentlemen,/movie/bi/mi/basic.naver?code=36343
3870,Hello I Must Be Going,2012,Hello+I+Must+Be+Going,/movie/bi/mi/basic.naver?code=90968
3871,Two Trains Runnin',2016,Two+Trains+Runnin%27,0
3873,Middle Men,2009,Middle+Men,/movie/bi/mi/basic.naver?code=76434
3876,Mom and Dad,2018,Mom+and+Dad,0
3877,Touched with Fire,2016,Touched+with+Fire,0
3879,Starfish,2018,Starfish,/movie/bi/mi/basic.naver?code=181937
3881,The First Monday in May,2016,The+First+Monday+in+May,/movie/bi/mi/basic.naver?code=149372
3882,The Miracle Season,2018,The+Miracle+Season,/movie/bi/mi/basic.naver?code=171484
3884,Downsizing,2017,Downsizing,/movie/bi/mi/basic.naver?code=142272
3885,Lowlife,2017,Lowlife,/movie/bi/mi/basic.naver?code=165833
3889,Universal Soldier,1992,Universal+Soldier,/movie/bi/mi/basic.naver?code=12148
3892,The Bookshop,2017,The+Bookshop,0
3896,The Ant Bully,2006,The+Ant+Bully,/movie/bi/mi/basic.naver?code=62626
3897,Overboard,2018,Overboard,/movie/bi/mi/basic.naver?code=163808
3899,"Nico, 1988",2017,Nico%2C+1988,/movie/bi/mi/basic.naver?code=167504
3903,Finding Your Feet,2017,Finding+Your+Feet,/movie/bi/mi/basic.naver?code=171911
3906,High-Rise,2015,High-Rise,/movie/bi/mi/basic.naver?code=125475
3919,Scotch: A Golden Dream,2019,Scotch%3A+A+Golden+Dream,0
3920,The Prodigy,2019,The+Prodigy,/movie/bi/mi/basic.naver?code=181410
3924,The Hustle,2019,The+Hustle,/movie/bi/mi/basic.naver?code=168080
3937,The Osiris Child,2016,The+Osiris+Child,/movie/bi/mi/basic.naver?code=164217
3938,Friday the 13th: The Final Chapter,1984,Friday+the+13th%3A+The+Final+Chapter,0
3941,The Escape,2018,The+Escape,0
3942,Where Hands Touch,2018,Where+Hands+Touch,/movie/bi/mi/basic.naver?code=158661
3946,Antiviral,2012,Antiviral,/movie/bi/mi/basic.naver?code=94800
3947,Flower,2017,Flower,/movie/bi/mi/basic.naver?code=162075
3950,Depraved,2019,Depraved,/movie/bi/mi/basic.naver?code=186913
3951,Wonder Park,2019,Wonder+Park,/movie/bi/mi/basic.naver?code=168086
3954,We Are What We Are,2010,We+Are+What+We+Are,0
3955,Hungry Hearts,2015,Hungry+Hearts,0
3958,Ms. Purple,2019,Ms.+Purple,0
3962,Do I Sound Gay?,2015,Do+I+Sound+Gay%3F,0
3972,Run the Race,2019,Run+the+Race,0
3981,Digging for Fire,2015,Digging+for+Fire,/movie/bi/mi/basic.naver?code=124255
3989,Damsel,2018,Damsel,/movie/bi/mi/basic.naver?code=171454
3990,Killing Them Safely,2015,Killing+Them+Safely,0
3995,What We Become,2015,What+We+Become,0
3998,I Still See You,2018,I+Still+See+You,/movie/bi/mi/basic.naver?code=181085
4002,WolfCop,2014,WolfCop,/movie/bi/mi/basic.naver?code=127136
4004,Pilgrimage,2017,Pilgrimage,/movie/bi/mi/basic.naver?code=144965
4005,UglyDolls,2019,UglyDolls,/movie/bi/mi/basic.naver?code=182012
4024,Proxy,2013,Proxy,/movie/bi/mi/basic.naver?code=113999
4033,Golden Exits,2018,Golden+Exits,0
4038,Spaceship Earth,2020,Spaceship+Earth,0
4048,"I, Frankenstein",2014,I%2C+Frankenstein,/movie/bi/mi/basic.naver?code=89724
4054,28 Hotel Rooms,2012,28+Hotel+Rooms,0
4062,The Numbers Station,2013,The+Numbers+Station,/movie/bi/mi/basic.naver?code=80662
4065,Rags,2012,Rags,0
4068,Legendary,2010,Legendary,/movie/bi/mi/basic.naver?code=78157
4075,Racer and the Jailbird,2017,Racer+and+the+Jailbird,0
4082,Black Gold,2011,Black+Gold,/movie/bi/mi/basic.naver?code=90389
4087,Free Willy 3: The Rescue,1997,Free+Willy+3%3A+The+Rescue,/movie/bi/mi/basic.naver?code=24556
4088,Black Cop,2017,Black+Cop,/movie/bi/mi/basic.naver?code=167728
4089,Vault,2019,Vault,/movie/bi/mi/basic.naver?code=201667
4100,The Tomorrow Man,2019,The+Tomorrow+Man,/movie/bi/mi/basic.naver?code=182054
4104,Bangkok Dangerous,2008,Bangkok+Dangerous,/movie/bi/mi/basic.naver?code=45695
4106,Girl Most Likely,2012,Girl+Most+Likely,/movie/bi/mi/basic.naver?code=98741
4109,Knives and Skin,2019,Knives+and+Skin,/movie/bi/mi/basic.naver?code=180175
4111,The Strange Ones,2018,The+Strange+Ones,0
4124,Manglehorn,2015,Manglehorn,0
4126,Neat: The Story of Bourbon,2018,Neat%3A+The+Story+of+Bourbon,0
4129,The Mountain,2019,The+Mountain,0
4154,Raze,2013,Raze,/movie/bi/mi/basic.naver?code=103646
4162,Wrinkles the Clown,2019,Wrinkles+the+Clown,0
4170,Lemon,2017,Lemon,/movie/bi/mi/basic.naver?code=174035
4172,Radioflash,2019,Radioflash,/movie/bi/mi/basic.naver?code=206164
4174,Strategic Air Command,1955,Strategic+Air+Command,0
4180,We Die Young,2019,We+Die+Young,/movie/bi/mi/basic.naver?code=193989
4215,The Sound of Silence,2019,The+Sound+of+Silence,/movie/bi/mi/basic.naver?code=181972
4217,Ozzy,2016,Ozzy,/movie/bi/mi/basic.naver?code=157500
4226,I'll Come Running,2008,I%27ll+Come+Running,0
4239,Higher Power,2018,Higher+Power,/movie/bi/mi/basic.naver?code=173829
4261,Feral,2018,Feral,/movie/bi/mi/basic.naver?code=186281
4267,Killers Anonymous,2019,Killers+Anonymous,/movie/bi/mi/basic.naver?code=189055
4283,The Disappointments Room,2016,The+Disappointments+Room,0
4303,Backtrace,2018,Backtrace,/movie/bi/mi/basic.naver?code=183477
4312,Curious George: Royal Monkey,2019,Curious+George%3A+Royal+Monkey,0
4321,Let's Be Evil,2016,Let%27s+Be+Evil,0
4327,I Am Alone,2015,I+Am+Alone,/movie/bi/mi/basic.naver?code=166421
